label,bits,method,verdict,word_muls,word_div_steps,mod_muls,mod_sqrs,mod_reductions,high_label,high_value,k,seed
bigCarmichael,19,Fermat,PROBABLY_PRIME,130,271,40,90,183,rounds,5,5,1
bigCarmichael,19,Miller-Rabin,COMPOSITE,25,49,8,17,25,rounds,1,5,1
bigCarmichael,26,Fermat,PROBABLY_PRIME,185,435,60,125,257,rounds,5,5,1
bigCarmichael,26,Miller-Rabin,COMPOSITE,36,71,12,24,36,rounds,1,5,1
bigCarmichael,27,Fermat,PROBABLY_PRIME,185,436,55,130,256,rounds,5,5,1
bigCarmichael,27,Miller-Rabin,COMPOSITE,36,69,11,25,35,rounds,1,5,1
bigCarmichael,19,Fermat,PROBABLY_PRIME,130,261,40,90,175,rounds,5,5,2
bigCarmichael,19,Miller-Rabin,COMPOSITE,25,34,8,17,25,rounds,1,5,2
bigCarmichael,26,Fermat,PROBABLY_PRIME,185,447,60,125,267,rounds,5,5,2
bigCarmichael,26,Miller-Rabin,COMPOSITE,36,69,12,24,35,rounds,1,5,2
bigCarmichael,27,Fermat,PROBABLY_PRIME,185,447,55,130,267,rounds,5,5,2
bigCarmichael,27,Miller-Rabin,COMPOSITE,36,67,11,25,34,rounds,1,5,2
bigCarmichael,19,Fermat,PROBABLY_PRIME,130,295,40,90,183,rounds,5,5,3
bigCarmichael,19,Miller-Rabin,COMPOSITE,25,48,8,17,25,rounds,1,5,3
bigCarmichael,26,Fermat,PROBABLY_PRIME,185,441,60,125,261,rounds,5,5,3
bigCarmichael,26,Miller-Rabin,COMPOSITE,36,71,12,24,36,rounds,1,5,3
bigCarmichael,27,Fermat,PROBABLY_PRIME,185,448,55,130,268,rounds,5,5,3
bigCarmichael,27,Miller-Rabin,COMPOSITE,36,67,11,25,34,rounds,1,5,3
bigCarmichael,19,Fermat,PROBABLY_PRIME,130,270,40,90,177,rounds,5,5,4
bigCarmichael,19,Miller-Rabin,COMPOSITE,25,39,8,17,25,rounds,1,5,4
bigCarmichael,26,Fermat,PROBABLY_PRIME,185,450,60,125,270,rounds,5,5,4
bigCarmichael,26,Miller-Rabin,COMPOSITE,70,136,24,46,69,rounds,2,5,4
bigCarmichael,27,Fermat,PROBABLY_PRIME,185,447,55,130,267,rounds,5,5,4
bigCarmichael,27,Miller-Rabin,COMPOSITE,36,69,11,25,35,rounds,1,5,4
bigCarmichael,19,Fermat,PROBABLY_PRIME,130,283,40,90,189,rounds,5,5,5
bigCarmichael,19,Miller-Rabin,COMPOSITE,25,45,8,17,25,rounds,1,5,5
bigCarmichael,26,Fermat,PROBABLY_PRIME,185,438,60,125,258,rounds,5,5,5
bigCarmichael,26,Miller-Rabin,COMPOSITE,70,138,24,46,70,rounds,2,5,5
bigCarmichael,27,Fermat,PROBABLY_PRIME,185,450,55,130,270,rounds,5,5,5
bigCarmichael,27,Miller-Rabin,COMPOSITE,36,69,11,25,35,rounds,1,5,5
bigCarmichael,19,Fermat,PROBABLY_PRIME,130,259,40,90,180,rounds,5,5,6
bigCarmichael,19,Miller-Rabin,COMPOSITE,25,44,8,17,25,rounds,1,5,6
bigCarmichael,26,Fermat,PROBABLY_PRIME,185,439,60,125,259,rounds,5,5,6
bigCarmichael,26,Miller-Rabin,COMPOSITE,36,71,12,24,36,rounds,1,5,6
bigCarmichael,27,Fermat,PROBABLY_PRIME,185,450,55,130,270,rounds,5,5,6
bigCarmichael,27,Miller-Rabin,COMPOSITE,36,67,11,25,34,rounds,1,5,6
bigCarmichael,19,Fermat,PROBABLY_PRIME,130,270,40,90,183,rounds,5,5,7
bigCarmichael,19,Miller-Rabin,COMPOSITE,25,45,8,17,25,rounds,1,5,7
bigCarmichael,26,Fermat,PROBABLY_PRIME,185,431,60,125,251,rounds,5,5,7
bigCarmichael,26,Miller-Rabin,COMPOSITE,36,71,12,24,36,rounds,1,5,7
bigCarmichael,27,Fermat,PROBABLY_PRIME,185,457,55,130,277,rounds,5,5,7
bigCarmichael,27,Miller-Rabin,COMPOSITE,69,132,22,47,67,rounds,2,5,7
bigCarmichael,19,Fermat,PROBABLY_PRIME,130,281,40,90,189,rounds,5,5,8
bigCarmichael,19,Miller-Rabin,COMPOSITE,25,29,8,17,24,rounds,1,5,8
bigCarmichael,26,Fermat,PROBABLY_PRIME,185,454,60,125,274,rounds,5,5,8
bigCarmichael,26,Miller-Rabin,COMPOSITE,36,69,12,24,35,rounds,1,5,8
bigCarmichael,27,Fermat,PROBABLY_PRIME,185,447,55,130,267,rounds,5,5,8
bigCarmichael,27,Miller-Rabin,COMPOSITE,36,67,11,25,34,rounds,1,5,8
bigCarmichael,19,Fermat,PROBABLY_PRIME,130,296,40,90,188,rounds,5,5,9
bigCarmichael,19,Miller-Rabin,COMPOSITE,25,45,8,17,25,rounds,1,5,9
bigCarmichael,26,Fermat,PROBABLY_PRIME,185,450,60,125,271,rounds,5,5,9
bigCarmichael,26,Miller-Rabin,COMPOSITE,36,70,12,24,36,rounds,1,5,9
bigCarmichael,27,Fermat,PROBABLY_PRIME,185,440,55,130,260,rounds,5,5,9
bigCarmichael,27,Miller-Rabin,COMPOSITE,36,67,11,25,34,rounds,1,5,9
bigCarmichael,19,Fermat,PROBABLY_PRIME,130,286,40,90,183,rounds,5,5,10
bigCarmichael,19,Miller-Rabin,COMPOSITE,25,41,8,17,25,rounds,1,5,10
bigCarmichael,26,Fermat,PROBABLY_PRIME,185,442,60,125,262,rounds,5,5,10
bigCarmichael,26,Miller-Rabin,COMPOSITE,36,69,12,24,35,rounds,1,5,10
bigCarmichael,27,Fermat,PROBABLY_PRIME,185,454,55,130,274,rounds,5,5,10
bigCarmichael,27,Miller-Rabin,COMPOSITE,36,69,11,25,35,rounds,1,5,10
